[2025-11-20T12:20:22.792Z] [INFO] AppBuilder prototype running on http://localhost:3000
[2025-11-20T12:20:28.056Z] [INFO] GET /admin -> 200 14ms
[2025-11-20T12:20:28.166Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 6ms
[2025-11-20T12:20:28.243Z] [INFO] GET /admin-static/utils.js -> 304 11ms
[2025-11-20T12:20:28.259Z] [INFO] GET /admin-static/style.css -> 200 66ms
[2025-11-20T12:20:28.286Z] [INFO] GET /admin-static/app.js -> 200 53ms
[2025-11-20T12:20:28.515Z] [INFO] GET /api/sites -> 304 11ms
[2025-11-20T12:20:32.051Z] [INFO] GET /api/sites/demo -> 304 2ms
[2025-11-20T12:20:32.055Z] [INFO] GET /api/sites/demo -> 304 1ms
[2025-11-20T12:20:32.167Z] [INFO] GET /api/sites/demo/pages -> 304 1ms
[2025-11-20T12:20:32.176Z] [INFO] GET /api/sites/demo/pages -> 304 2ms
[2025-11-20T12:20:32.183Z] [INFO] GET /api/sites/demo/tree -> 304 2ms
[2025-11-20T12:20:32.187Z] [INFO] GET /api/sites/demo/tree -> 304 2ms
[2025-11-20T12:20:32.482Z] [INFO] GET /site/demo/ -> 200 313ms
[2025-11-20T12:20:32.488Z] [INFO] GET /api/sites/demo/data -> 304 296ms
[2025-11-20T12:20:32.599Z] [INFO] GET /api/sites/demo/data -> 304 107ms
[2025-11-20T12:20:36.086Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 3ms
[2025-11-20T12:20:36.190Z] [INFO] GET /site/demo/index.html -> 304 94ms
[2025-11-20T12:22:27.737Z] [INFO] GET /site/demo/index.html -> 304 303ms
[2025-11-20T12:22:33.054Z] [INFO] POST /api/sites/demo/pages/save -> 200 2ms
[2025-11-20T12:22:33.354Z] [INFO] GET /site/demo/index.html -> 200 290ms
[2025-11-20T12:22:35.752Z] [INFO] GET /site/demo/index.html -> 200 92ms
[2025-11-20T12:24:46.724Z] [INFO] GET /site/demo/ -> 200 271ms
[2025-11-20T12:25:34.339Z] [INFO] GET /admin -> 304 1ms
[2025-11-20T12:25:34.452Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 1ms
[2025-11-20T12:25:34.466Z] [INFO] GET /admin-static/style.css -> 304 3ms
[2025-11-20T12:25:34.522Z] [INFO] GET /admin-static/utils.js -> 304 2ms
[2025-11-20T12:25:34.566Z] [INFO] GET /admin-static/app.js -> 200 45ms
[2025-11-20T12:25:34.781Z] [INFO] GET /api/sites -> 304 2ms
[2025-11-20T12:25:38.308Z] [INFO] GET /api/sites/demo -> 304 1ms
[2025-11-20T12:25:38.314Z] [INFO] GET /api/sites/demo -> 304 1ms
[2025-11-20T12:25:38.332Z] [INFO] GET /api/sites/demo/pages -> 304 2ms
[2025-11-20T12:25:38.348Z] [INFO] GET /api/sites/demo/pages -> 304 4ms
[2025-11-20T12:25:38.356Z] [INFO] GET /api/sites/demo/tree -> 304 3ms
[2025-11-20T12:25:38.365Z] [INFO] GET /api/sites/demo/tree -> 304 2ms
[2025-11-20T12:25:38.643Z] [INFO] GET /site/demo/ -> 200 307ms
[2025-11-20T12:25:38.646Z] [INFO] GET /api/sites/demo/data -> 304 276ms
[2025-11-20T12:25:38.746Z] [INFO] GET /api/sites/demo/data -> 304 96ms
[2025-11-20T12:25:39.611Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 200 1ms
[2025-11-20T12:25:39.718Z] [INFO] GET /site/demo/index.html -> 304 95ms
[2025-11-20T12:28:34.254Z] [INFO] GET /admin -> 304 2ms
[2025-11-20T12:28:34.368Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 5ms
[2025-11-20T12:28:34.431Z] [INFO] GET /admin-static/utils.js -> 304 17ms
[2025-11-20T12:28:34.502Z] [INFO] GET /admin-static/style.css -> 200 99ms
[2025-11-20T12:28:34.550Z] [INFO] GET /admin-static/app.js -> 200 129ms
[2025-11-20T12:28:34.696Z] [INFO] GET /api/sites -> 304 2ms
[2025-11-20T12:28:37.951Z] [INFO] GET /api/sites/demo -> 304 2ms
[2025-11-20T12:28:37.967Z] [INFO] GET /api/sites/demo/pages -> 304 1ms
[2025-11-20T12:28:37.975Z] [INFO] GET /api/sites/demo/tree -> 304 1ms
[2025-11-20T12:28:38.267Z] [INFO] GET /api/sites/demo/data -> 304 281ms
[2025-11-20T12:28:38.270Z] [INFO] GET /site/demo/ -> 304 309ms
[2025-11-20T12:28:38.920Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 1ms
[2025-11-20T12:28:39.041Z] [INFO] GET /site/demo/index.html -> 304 109ms
[2025-11-20T12:29:26.578Z] [INFO] POST /api/sites/demo/pages/save -> 200 3ms
[2025-11-20T12:29:26.912Z] [INFO] GET /site/demo/index.html -> 200 322ms
[2025-11-20T12:29:29.255Z] [INFO] GET /site/demo/index.html -> 200 104ms
[2025-11-20T12:29:53.756Z] [INFO] POST /api/sites/demo/pages/save -> 200 3ms
[2025-11-20T12:29:54.054Z] [INFO] GET /site/demo/index.html -> 200 286ms
[2025-11-20T12:29:56.597Z] [INFO] GET /site/demo/index.html -> 200 96ms
[2025-11-20T12:31:37.196Z] [INFO] GET /admin -> 304 2ms
[2025-11-20T12:31:37.315Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 2ms
[2025-11-20T12:31:37.339Z] [INFO] GET /admin-static/style.css -> 304 14ms
[2025-11-20T12:31:37.371Z] [INFO] GET /admin-static/utils.js -> 304 19ms
